,Census Tract,Total Population,California County,County,countytrim,ZIP,Longitude,Latitude,Ozone,PM2.5,Diesel PM,Drinking Water,Pesticides,Tox. Release,Traffic,Cleanup Sites,Groundwater Threats,Haz. Waste,Imp. Water Bodies,Solid Waste,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Linguistic Isolation,Poverty,Unemployment,Housing Burden
0,6019001100,3174,Fresno ,Fresno County,Fresno,93706,-119.7816961,36.7096952,0.065,15.4,48.524,681.2,2.75,18551.95719,909.14,80.5,45.75,0.795,0,21.75,131.64,7.44,14.13,53.3,16.2,76.3,17.6,26
1,6071001600,6133,San Bernardino,San Bernardino County,San Bernardino,91761,-117.6180131,34.0577805,0.062,13.31,38.556,904.66,1.37,7494.236622,782.26,66.2,36,1.25,5,12,60.66,7.04,12.94,53.3,33.4,72.5,12.3,34.1
2,6019000200,3167,Fresno ,Fresno County,Fresno,93706,-119.8055044,36.7354914,0.062,15.4,47.445,681.2,3.03,12454.94841,576.52,22,30.25,0.2,0,2.5,142.12,10.16,14.96,42.3,16.7,86.8,16.1,40.1
3,6077000801,6692,San Joaquin,San Joaquin County,San Joaquin,95203,-121.3145235,37.9405169,0.046,12.54,24.117,278.76,12.93,2387.782922,1305.01,50.1,132.1,0.795,19,27,142.17,6.23,14.72,40.8,15.3,61.3,19.6,21.1
4,6019001500,2206,Fresno ,Fresno County,Fresno,93725,-119.7178427,36.6816,0.065,15.4,18.846,1000.24,3518.41,21790.70672,435.16,60,54.2,13.1,0,50.8,90.48,4.5,12.82,45.1,14.7,66.4,18.6,28.1
5,6037204920,2598,Los Angeles,Los Angeles County,Los Angeles,90023,-118.1974975,34.0175004,0.046,12.89,56.52,714.48,0,39040.17995,2943.44,36.7,25,4.93,7,3.85,68.74,7.35,10.4,53.1,23.7,66.4,11.6,22
6,6077000300,2396,San Joaquin,San Joaquin County,San Joaquin,95203,-121.3020724,37.952421,0.046,13.44,21.76,278.76,172.49,707.5361575,885.52,89.7,149.05,0.135,14,2.3,169.56,8.36,12.7,46,27.1,76.2,14.4,24.3
7,6019001000,4106,Fresno ,Fresno County,Fresno,93706,-119.804314,36.6977507,0.065,15.4,20.848,788.02,1435.93,6996.962409,243.54,15.45,20,0,0,10,142.28,7.83,14.96,47.4,15.8,74.5,20,31.8
8,6037206050,2146,Los Angeles,Los Angeles County,Los Angeles,90023,-118.2244531,34.0299036,0.046,12.89,53.958,664.07,0,10378.23648,2810.82,36.05,16.25,10.025,7,22.1,58.03,6.71,7.24,50.4,35.7,75.7,28.5,31.7
9,6019000400,6343,Fresno ,Fresno County,Fresno,93721,-119.7762091,36.7276563,0.065,15.4,54.356,681.2,114.96,125383.892,815.36,15.95,13.5,0.755,0,0.5,107.8,4.79,14.75,52.5,13.7,83.4,23.5,23.2
10,6099002100,4165,Stanislaus ,Stanislaus County,Stanislaus,95354,-120.9667385,37.6287607,0.053,12.89,24.585,826.14,14.38,1033.797912,606.03,30,9.55,2.62,7,3.5,94.54,5.37,13.59,52.3,16,78.3,19.3,24.8
11,6029002500,9122,Kern ,Kern County,Kern,93307,-118.9920281,35.3372541,0.065,19.18,20.42,1041.62,3.47,49.70815719,675.16,42.4,46.25,10.26,0,13.6,89.83,6.28,11.77,41.3,14.9,73.8,28.5,26.8
12,6019000600,6161,Fresno ,Fresno County,Fresno,93721,-119.7933565,36.743063,0.065,15.4,54.243,681.2,88.58,7030.451231,591.37,5.7,8,0.46,0,1.25,118.86,7.87,10.12,46.9,11.6,89.5,21.7,40.3
13,6019001201,5936,Fresno ,Fresno County,Fresno,93725,-119.7577716,36.7107523,0.065,15.4,27.565,681.2,0,19782.60168,347.88,98.65,71.8,4.275,0,20,89.51,5.28,12.74,52.3,22.9,70.7,20.1,31.2
